conditions,entry_number,driver,codriver,car,tyre,group
asphalt,,Katić Anto,Mikić Valentin,Ford Sierra,,
asphalt,,Lončarič Nenad,"""Pinky""",Subaru Impreza STi N12,https://www.ewrc-results.com/images/tyres/pirelli_red.png,
asphalt,,Madjer Alen,Madjer Anamarija,Škoda Fabia RS,,
asphalt,,Pelicar Karlo,,Citroën AX,,
asphalt,17,Ogier Sébastien,Landais Vincent,Toyota GR Yaris Rally1,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC1
asphalt,11,Neuville Thierry,Wydaeghe Martijn,Hyundai i20 N Rally1,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC1
asphalt,69,Rovanperä Kalle,Halttunen Jonne,Toyota GR Yaris Rally1,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC1
asphalt,8,Tänak Ott,Järveoja Martin,Ford Puma Rally1,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC1
asphalt,33,Evans Elfyn,Martin Scott,Toyota GR Yaris Rally1,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC1
asphalt,4,Lappi Esapekka,Ferm Janne,Hyundai i20 N Rally1,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC1
asphalt,18,Katsuta Takamoto,Johnston Aaron,Toyota GR Yaris Rally1,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC1
asphalt,7,Loubet Pierre-Louis,Gilsoul Nicolas,Ford Puma Rally1,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC1
asphalt,20,Solberg Oliver,Edmondson Elliott,Škoda Fabia RS Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,21,Rossel Yohan,Dunand Arnaud,Citroën C3 Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,22,Lindholm Emil,Hämäläinen Reeta,Škoda Fabia RS Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,23,Greensmith Gus,Andersson Jonas,Škoda Fabia RS Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,24,Gryazin Nikolay,Aleksandrov Konstantin,Škoda Fabia RS Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,25,Fourmaux Adrien,Coria Alexandre,Ford Fiesta Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,26,Pajari Sami,Mälkönen Enni,Škoda Fabia RS Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,27,Cais Erik,Těšínský Petr,Škoda Fabia RS Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,28,Munster Grégoire,Louka Louis,Ford Fiesta Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,29,Linnamäe Georg,Morgan James,Hyundai i20 N Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,30,Ciamin Nicolas,Roche Yannick,Volkswagen Polo GTI R5,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,32,Kremer Armin,Kremer Ella,Škoda Fabia RS Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,34,Miele Mauro,Beltrame Luca,Škoda Fabia RS Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,35,Keferböck Johannes,Minor Ilka,Škoda Fabia RS Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,36,Cachón Alejandro,"""Jandrín""",Citroën C3 Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,37,Herczig Norbert,Ferencz Ramón,Škoda Fabia Rally2 evo,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,38,O'Brien Patrick,O'Brien Stephen,Hyundai i20 N Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,39,Vossen Henk,van Hoek Radboud,Škoda Fabia Rally2 evo,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,40,Boland Eamonn,"""MJ""",Citroën C3 Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,41,Creighton William,Regan Liam,Ford Fiesta Rally3,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC3
asphalt,44,Pellier Laurent,Pelamourgues Marine,Ford Fiesta Rally3,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC3
asphalt,45,Domínguez Diego Jr.,Peñate Rogelio,Ford Fiesta Rally3,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC3
asphalt,46,Hernández Raúl,Sanjuan de Eusebio Rodrigo,Ford Fiesta Rally3,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC3
asphalt,47,Blach Roberto Jr.,Barreiro Mauro,Ford Fiesta Rally3,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC3
asphalt,48,Rensonnet Tom,Dumont Loïc,Ford Fiesta Rally3,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC3
asphalt,49,Anwar Hamza,Brady Martin,Ford Fiesta Rally3,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC3
asphalt,50,Kelly Eamonn,Mohan Conor,Ford Fiesta Rally3,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC3
asphalt,51,Kohn Filip,Střeska Tomáš,Ford Fiesta Rally3,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC3
asphalt,52,Ravenščak Martin,Ravenščak Dora,Ford Fiesta Rally3,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC3
asphalt,53,Majerčák Vlastimil,Slovák Jakub,Ford Fiesta Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,54,Turk Rok,Kacin Blanka,Hyundai i20 N Rally2,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,55,László Zoltán,Zsiros Gábor,Škoda Fabia Rally2 evo,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,56,Zrinski Aleš,Vidmar Rok,Škoda Fabia Rally2 evo,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,57,Cartier Victor,Maye Marine,Toyota Yaris Rally2-Kit,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,58,Schwarz Fabio,Rauber Tim,Ford Fiesta Rally3,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC3
asphalt,59,Fontana Matteo,Arnaboldi Alessandro,Peugeot 208 Rally4,https://www.ewrc-results.com/images/tyres/michelin_red.png,RC4
asphalt,60,Oldani Marco,D'Agostino Pietro,Peugeot 208 Rally4,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC4
asphalt,61,Jürgenson Romet,Oja Siim,Ford Fiesta Rally4,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC4
asphalt,62,Medved Jan,Šavelj Izidor,Opel Corsa Rally4,https://www.ewrc-results.com/images/tyres/michelin_red.png,RC4
asphalt,63,Szilágyi János,Váradi Alexandra,Peugeot 208 Rally4,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC4
asphalt,64,Hrvatin Tomas,Simčić Djani,Renault Clio Rally4,https://www.ewrc-results.com/images/tyres/hankook2.png,RC4
asphalt,65,Magličić Željko,Poljak Ivan,Ford Fiesta Rally4,https://www.ewrc-results.com/images/tyres/hankook2.png,RC4
asphalt,66,Pokos Jan,Ošlaj Viljem,Peugeot 208 Rally4,https://www.ewrc-results.com/images/tyres/hankook2.png,RC4
asphalt,67,Lončarić Marko,Krnjić Gabrijel,Renault Clio Rally4,https://www.ewrc-results.com/images/tyres/hankook2.png,RC4
asphalt,68,Čičko Vjekoslav,Kokolić Eugen,Renault Clio Rally5,https://www.ewrc-results.com/images/tyres/hankook2.png,RC5
asphalt,70,Šekuljica Slaven,Petrović Damir,Renault Clio Rally5,https://www.ewrc-results.com/images/tyres/hankook2.png,RC5
asphalt,71,Mandić Igor,Ivančić Albert,Renault Clio Rally5,https://www.ewrc-results.com/images/tyres/hankook2.png,RC5
